doc_id,text,response_type,sex,age_cohorts,political_id3,close_nkmigrants
nkmigrants_interviews_0000,연륜,hire,Male,40-49,Progressive,Neither close nor distant
nkmigrants_interviews_0001,한국에 적응,neighbor,Male,40-49,Progressive,Neither close nor distant
nkmigrants_interviews_0002,한국에 적응,vote,Male,40-49,Progressive,Neither close nor distant
nkmigrants_interviews_0003,직업도 있고 해서,hire,Male,30-39,Conservative,Somewhat distant
nkmigrants_interviews_0004,직업적으로 좋아 보여서,neighbor,Male,30-39,Conservative,Somewhat distant
nkmigrants_interviews_0005,직업적으로 더 안정돼 보여서,vote,Male,30-39,Conservative,Somewhat distant
nkmigrants_interviews_0006,한국 체류기간이 길어서,hire,Male,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_0007,"체류기간, 한국인 동료",neighbor,Male,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_0008,체류기간,vote,Male,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_0009,자녀가 있고 체류기가도 있어서,hire,Male,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_0010,연령이 적합해서,neighbor,Male,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_0011,아는 지인이 먆아서,vote,Male,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_0012,정치를 하려면 기본적으로 어느정도 연령이 되어야할것같아서,hire,Female,30-39,Progressive,Neither close nor distant
nkmigrants_interviews_0013,아이가 없으면 일하는데 지장이 없을것같아서,neighbor,Female,30-39,Progressive,Neither close nor distant
nkmigrants_interviews_0014,체류기간이 상대적으로 적은사람에게 이웃이 되어주고 싶어서,vote,Female,30-39,Progressive,Neither close nor distant
nkmigrants_interviews_0015,나이가 젊음,hire,Female,18-29,Progressive,Very close
nkmigrants_interviews_0016,탈북한지 충분히 오래되었음,neighbor,Female,18-29,Progressive,Very close
nkmigrants_interviews_0017,탈북민과 교류,vote,Female,18-29,Progressive,Very close
nkmigrants_interviews_0018,안정적일거 같아서,hire,Male,30-39,Progressive,Neither close nor distant
nkmigrants_interviews_0019,안정적,neighbor,Male,30-39,Progressive,Neither close nor distant
nkmigrants_interviews_0020,안정적,vote,Male,30-39,Progressive,Neither close nor distant
nkmigrants_interviews_0021,조선노동당원이 아니여서,hire,Female,40-49,Centrist,Somewhat close
nkmigrants_interviews_0022,북한체류도 길고 고생해 온것 같아 도움을 주고 싶을거 같다,neighbor,Female,40-49,Centrist,Somewhat close
nkmigrants_interviews_0023,젊은 사람을 선호할거 같다,vote,Female,40-49,Centrist,Somewhat close
nkmigrants_interviews_0024,한국인 동료,hire,Male,60+,Progressive,Somewhat distant
nkmigrants_interviews_0025,젊은 나이,neighbor,Male,60+,Progressive,Somewhat distant
nkmigrants_interviews_0026,동료가 많음,vote,Male,60+,Progressive,Somewhat distant
nkmigrants_interviews_0027,정서안정되고 남한에 대한 이해가높음,hire,Female,60+,Centrist,Neither close nor distant
nkmigrants_interviews_0028,생할이 안정되고 남한에대한 이해가 되었다고 생각합니다.,neighbor,Female,60+,Centrist,Neither close nor distant
nkmigrants_interviews_0029,생할이 안정되고 삶에대한 민주의 우수성이해,vote,Female,60+,Centrist,Neither close nor distant
nkmigrants_interviews_0030,북한 이탈 후 중국 체류 기간과 한국 내 체류 기간이 오래 되었으며 현재 직업도 가지고 있음.,hire,Female,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_0031,현재 직업이 있음.,neighbor,Female,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_0032,중국과 한국의 체류 기간이 길고 현재 직업도 있음.,vote,Female,40-49,Centrist,Neither close nor distant
nkmigrants_interviews_0033,신뢰,hire,Male,18-29,Conservative,Neither close nor distant
nkmigrants_interviews_0034,남성.전문직.정착원만,neighbor,Male,18-29,Conservative,Neither close nor distant
nkmigrants_interviews_0035,남성.신뢰,vote,Male,18-29,Conservative,Neither close nor distant
nkmigrants_interviews_0036,중국거주기간이 짧아서,hire,Male,60+,Centrist,Neither close nor distant
nkmigrants_interviews_0037,한국 체류기간이 길어서,neighbor,Male,60+,Centrist,Neither close nor distant
nkmigrants_interviews_0038,나이가어려서,vote,Male,60+,Centrist,Neither close nor distant
nkmigrants_interviews_0039,한국의 문화 잘적응,hire,Male,30-39,Conservative,Somewhat distant
nkmigrants_interviews_0040,한국사회 적응잘함,neighbor,Male,30-39,Conservative,Somewhat distant
nkmigrants_interviews_0041,한국적응 길다,vote,Male,30-39,Conservative,Somewhat distant
nkmigrants_interviews_0042,7년동안 체류했기때문에 한국정성을 알고 있기때문이다,hire,Male,18-29,Progressive,Very distant
nkmigrants_interviews_0043,오래 체류한 사람이 일하기 편하다,neighbor,Male,18-29,Progressive,Very distant
nkmigrants_interviews_0044,한국동료가 잘함께 일할수 있을것 같다,vote,Male,18-29,Progressive,Very distant
nkmigrants_interviews_0045,나이도 성인이며 결혼했으니 기본적인 책임감이 있을것이다,hire,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_0046,젊은여성이고 빨리 배울수있을것같다 뭐든지,neighbor,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_0047,여자니까,vote,Female,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_0048,안정적,hire,Male,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_0049,안정적,neighbor,Male,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_0050,안정적,vote,Male,30-39,Centrist,Neither close nor distant
nkmigrants_interviews_0051,직업을 고려하였음,hire,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_0052,연령을 고려하였음,neighbor,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_0053,B는 너무 어림,vote,Male,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_0054,잘 모르기때문에,hire,Male,30-39,Centrist,Very distant
nkmigrants_interviews_0055,중국에 오래있지 않아서,neighbor,Male,30-39,Centrist,Very distant
nkmigrants_interviews_0056,컴퓨터를 잘 다룰꺼 같아서,vote,Male,30-39,Centrist,Very distant
nkmigrants_interviews_0057,필요성,hire,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_0058,편의점직원,neighbor,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_0059,친근감,vote,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_0060,결혼을 하였고 직장의 안전성도 더 신 뢰가 갑니다.,hire,Female,40-49,Conservative,Somewhat distant
