doc_id,text,date,year,title,url
rodong_sinmun_en_0000,"Last year international laws and fundamental principles of international relations were openly ignored on the international arena and sovereignties of various countries violated owing to the outrageous infringement and intervention by the hegemonic forces. Anyhow, a nuclear war, feared so much by the world people, has not broken out on the Korean peninsula, the hottest spot in the world. This was because nukes of tyranny were contained by nukes of justice. The army and people of the DPRK got more confident that the road of holding the new line of simultaneously pushing forward the economic construction and the building of nuclear force advanced by the Party and bolstering up the nuclear deterrence in every way is the most correct one to be followed by them to the end. Their will to defend peace on the Korean Peninsula and the region grew stronger. The DPRK emerged a world-level nuclear power and rocket power possessed of A-bomb, H-bomb and ICBM. The U.S. got hell-bent in nuclear war drills but dared not to provoke the DPRK possessed of powerful war deterrent. The two law-governed traditions in which victory belongs to the DPRK but defeat to the U.S. continued last year, a proof that the DPRK's line of simultaneously developing the two fronts is the most just one and the way of rapidly bolstering the nuclear force chosen by the latter was entirely right. Ri Hyon Do",2018-01-08,2018,DPRK's Strategic Decision Is Just,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-08-0005
rodong_sinmun_en_0001,"Jan. 7 witnessed meetings of workers, trade union members, agricultural workers and members of the Union of Agricultural Workers of Korea to vow the implementation of the tasks set forth in the New Year Address of respected Supreme Leader Kim Jong Un in the plaza in front of the Monument to Party Founding and at the Chongsan Co-op Farm in Kangso District, Nampho City. Reports were made and vowing speeches also delivered at the meetings. The reporters and speakers said that the New Year Address serves as a guideline which all the more inspired the people with the confidence in final victory in the accomplishment of the revolutionary cause of Juche and with optimism and which illuminates the way ahead. They also noted that it serves as a militant banner of encouraging all the service personnel and people to speed up the grand Mallima advance. They called for upholding this year's slogan ""Let us launch a revolutionary general offensive to achieve fresh victory on all fronts of building a powerful socialist country!"" to frustrate the challenges of the hostile forces making last-ditch efforts and raise the overall power of the Republic to a new stage of development. They also appealed to the people to make more vigorous efforts to bring earlier the final victory of Juche revolution under the great plans in the New Year Address. The outline for the socialist emulation for the creation of Mallima speed 2018 was made public at the meetings. Rodong News Team",2018-01-09,2018,DPRK Workers Meet to Pledge New Year Tasks Fulfillment,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-09-0008
rodong_sinmun_en_0002,"Mass rallies took place in North and South Phyongan and Hwanghae provinces, Jagang Province and Nampho City of the DPRK on Jan. 6 and 7 to pledge the implementation of the tasks set forth in the New Year Address of respected Supreme LeaderKim Jong Un. Attending them were officials of local party and power organs, working people's organizations, industrial establishments, farms, universities and other units and working citizens and youths and students. Reports and pledge-making speeches were made at the rallies. The reporters and speakers said the New Year Address serves as a militant banner giving the firm faith in victory in the revolutionary cause of Juche and optimism to the army and people and greatly encouraging them to the building of a powerful socialist country. They appealed to all the officials and Party members and other working people to launch a revolutionary general offensive dynamically to achieve fresh victory on all fronts of building of a powerful socialist country by taking the historic victory in the building of the DPRK's nuclear forces as a springboard for fresh progress. They called for making vigorous efforts to bring earlier the final victory in the Juche revolution under the bright blueprint unfolded by the Supreme Leader in the New Year Address, rallied closer around the Workers' Party of Korea. At the end of the rallies there were demonstrations. The demonstrators marched through the plazas and streets, chanting revolutionary and militant slogans. Rodong News Team",2018-01-09,2018,People of Various Localities Vow to Fulfill This Year Tasks,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-09-0007
rodong_sinmun_en_0003,"Events took place in various countries to celebrate the 6th anniversary of respected Supreme Leader Kim Jong Un's assumption of the supreme commandership of the Korean People's Army (KPA). There were a seminar in Uganda, round-table talks in Ethiopia and book exhibitions and film shows in Nigeria between Dec. 22 and 29 last year. Personages of the Ugandan National Executive Committee of the Pan-African Movement and the Ugandan National Committee for the Study of the Juche Idea said that the KPA has further developed into an invincible army since Kim Jong Un's assumption of its supreme commandership. And they stressed that the achievements made by the Korean people in the struggle to defend the sovereignty of the country would have been unthinkable without the outstanding guidance of President Kim Il Sung and leader Kim Jong Il and Kim Jong Un carrying forward their revolutionary cause. Speakers at the round-table talks in Ethiopia said that Kim Jong Un is a great man to be followed by heads of state of all other countries and the strongest leader in the world, adding that they envy the Korean army and people their good fortune of having him as the Supreme Commander. Figures of Nigeria noted that HE Kim Jong Un has trained the KPA to be an invincible army and bolstered up the military capability of the country, stressing that the Korean people led by him will surely emerge victorious in the standoff with the U.S. imperialists. Rodong News Team",2018-01-11,2018,Kim Jong Un's Feats Praised by Foreign Figures,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-11-0002
rodong_sinmun_en_0004,"There were DPRK book, photo and handicraft exhibitions in Guinea, Turkey, Sweden and Mexico to mark the 26th anniversary of leader Kim Jong Il's assumption of the supreme commandership of the Korean People's Army (KPA), the 6th anniversary of respected Supreme Leader Kim Jong Un's assumption of the KPA supreme commandership and the 100th birth anniversary of the anti-Japanese war heroine Kim Jong Suk. On display at the venues were photos showing the feats of President Kim Il Sung, leader Kim Jong Il and respected Supreme Leader Kim Jong Un. Also there were works of the peerlessly great men, books and photos introducing the reality of Juche Korea and handicrafts showing the creative skills of the Korean people. The general secretary of the Democratic Rally of Africa-Democratic Party of Guinea said that the DPRK, which developed under the guidance of President Kim Il Sung and HE Kim Jong Il, is making signal achievements in all sectors under the leadership of HE Kim Jong Un. Personages of Sweden said that the exhibition underway despite the situation more acute than ever before due to the U.S. and other hostile forces' nuclear threats and moves to isolate and stifle the DPRK, was of great significance in having correct understanding of the DPRK. They underlined the need to hold such exhibitions more frequently in the future, too, so as to further develop the bilateral cultural and friendly ties. Rodong News Team",2018-01-12,2018,"DPRK Book, Photo and Handicraft Exhibitions Held Abroad",http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-12-0007
rodong_sinmun_en_0005,"The Brazilian Center for the Study of the Juche Idea posted the full text of President Kim Il Sung's work ""Let Us Overthrow Imperialism"" on its website on January 5. The work, published on October 17, Juche 15 (1926), clarifies the idea that it is necessary to fight to the last against the Japanese imperialists to free the popular masses from colonial slavery. It also sets forth tasks to overthrow the Japanese imperialists and achieve the independence of Korea so as to make sure that the Korean people lead a free and happy life and creditably carry out the sacred cause of overthrowing all imperialism on the earth to make the oppressed working people of the whole world lead a free and happy life. Rodong News Team",2018-01-13,2018,Kim Il Sung's Work Introduced in Brazil,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-13-0001
rodong_sinmun_en_0006,"The art squad of the Central Committee of the Kimilsungist-Kimjongilist Youth League gave a performance at the Central Youth Hall on Jan. 17, the 72nd anniversary of the founding of the Youth League. Among the audience were Choe Hwi, vice-chairman of the C.C., Workers' Party of Korea, Pak Chol Min, first secretary of the C.C., Youth League, and officials of the youth league, youths and students. Colorful numbers were put on the stage at the performance that began with light music and chorus ""March of Korean Youth"". The performers praised President Kim Il Sung and leader Kim Jong Il for building a youth power without an equal in the world. They depicted the fact that the victorious history of the Korean youth movement invariably continues thanks to respected Supreme Leader Kim Jong Un. Also put on the stage were numbers reflecting the zeal of the Korean youths who are determined to devotedly defend the Party Central Committee and perform heroic feats on all fronts of defending socialism and building an economic power. Rodong News Team",2018-01-19,2018,Art Squad of Korean Youth Gives Performance,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-19-0009
rodong_sinmun_en_0007,"A Swiss preparatory committee for celebrating the 76th birth anniversary of leader Kim Jong Il was formed in Basel on Jan. 14. Martin Lotscher, chairman of the Switzerland-Korea Committee and chief of the Swiss Group for the Study of the Juche Idea, was elected chairman of the preparatory committee. The preparatory committee set a celebration period from Jan. 21 to Feb. 17 and decided to organize colorful political and cultural events in the period. Rodong News Team",2018-01-26,2018,Kim Jong Il's Birth Anniversary to Be Marked in Switzerland,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-26-0003
rodong_sinmun_en_0008,"An appeal to all Koreans at home and abroad was adopted at the joint conference of the government, political parties and organizations of the Democratic People's Republic of Korea held on Jan. 24. They called upon all Koreans with the strong will to make this auspicious year an eventful year noteworthy in the history of the nation by pooling the efforts of our nation as follows: 1. Let us turn out as one in the nationwide drive to improve the north-south relations and make a breakthrough for independent reunification, true to the noble patriotic intention of the peerlessly great man! It is the steadfast will of all Koreans who have turned out for implementing the noble intention of the peerlessly great man to bring great changes to the north-south relations as early as possible and make a new history of independent reunification. Let us rapidly improve the north-south relations and pave a wide avenue to rosy future of the nation which will be reunified, strong and prosperous! Let us make the whole land of Korea seethe with hot wind for independent reunification and courageously advance the north-south relations along the way indicated by the June 15 joint declaration and the October 4 declaration! Let us decisively smash all sophisms and attempts to slander the nuclear treasured sword of the nation and justice and brand it as a hurdle in the way for the improvement of the north-south relations! 2. Let us wage an energetic drive to defuse the acute military tension between the north and the south and create a peaceful climate on the Korean Peninsula! Let all Koreans at home and abroad turn out to decisively oppose and reject all hostile acts and war moves aggravating the situation and wrecking peace! Let all Koreans become shields and strong castle walls in the struggle to defend security of the nation and peace on this land! Let all Koreans rise up in the peace-keeping struggle against war to baffle the reckless nuclear war moves of the U.S. which brings disaster to this land, setting dangerous flames! 3. Let us promote contact, travel, cooperation and exchange between the north and the south on a wide scale and actively create a climate for national reconciliation and reunification! Let us promote contact, travel, cooperation and exchange between the north and the south on a wide scale to remove mutual misunderstanding and distrust and make all the fellow countrymen fulfill their responsibility and role as the driving force of national reunification! Let the people of all strata in the north and the south bring down the barrier of national division and share kindred feelings by freely traveling by air and sea and overland and actively promote the trend of reconciliation and unity! Let's reenergize inter-political party, inter-strata and inter-sector contacts and dialogues and activate cooperation and exchange at home and abroad to stir up the climate of reunification! Let all compatriots wage a more vigorous struggle to get rid of anachronistic legal and institutional mechanisms harassing the fresh tide of national reconciliation and unity and prevent hostile actions! We will courageously smash all challenges going against the nation's desire for reunification, hold with splendor joint events of the nation involving political parties and organizations and personages at home and abroad on the anniversaries of north-south declarations, the 73rd anniversary of national liberation and other occasions this year and thus demonstrate the nati",2018-01-26,2018,DPRK Joint Conference Calls for Making This Year Noteworthy in History of Nation,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-26-0006
rodong_sinmun_en_0009,"A Bangladeshi preparatory committee for celebrating leader Kim Jong Il's birth anniversary (the Day of the Shining Star) was formed on Jan. 16. MD. Harun-Ar-Rashid, chairman of the Bangladesh-Korea Friendship and Solidarity Committee, was elected chairman of the preparatory committee. The committee decided to hold colorful political and cultural events such as seminar praising Kim Jong Il's feats for the Korean revolution and the human cause of independence. Rodong News Team",2018-01-27,2018,Day of Shining Star to Be Marked in Bangladesh,http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2018-01-27-0001
